dscName,cmpLongName,dscCurrentActivityStatus,dscHcType,wlbName,nmaName,fldName,dscDateFromInclInField,dscDiscoveryYear,dscResInclInDiscoveryName,dscOwnerKind,dscOwnerName,dscNpdidDiscovery,fldNpdidField,wlbNpdidWellbore,dscFactPageUrl,dscFactMapUrl
15/12-18 A,MOL Norge AS,Included in other discovery,OIL,15/12-18 A,North sea,,,2007,15/12-18 S (Storskrymten),PRODUCTION LICENSE,773,4554325,,5608,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=4554325,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=4554325
15/12-19,A/S Norske Shell,Included in other discovery,GAS,15/12-19,North sea,GAUPE,25.06.2010,2008,6/3-1 PI,PRODUCTION LICENSE,292,4972729,18161341,5705,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=4972729,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=18161341
15/12-20 S,Repsol Norge AS,Included in other discovery,OIL,15/12-20 S,North sea,VARG,01.12.2008,2008,15/12-4 VARG,PRODUCTION LICENSE,038,5010042,43451,5824,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=5010042,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43451
15/3-9,Statoil Petroleum AS,Included in other discovery,OIL/GAS,15/3-9,North sea,GUDRUN,19.12.2013,2010,15/3-1 S GUDRUN,PRODUCTION LICENSE,025,18212532,18116481,6354,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=18212532,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=18116481
15/9-17 LOKE,Statoil Petroleum AS,Included in other discovery,GAS/CONDENSATE,15/9-17,North sea,SLEIPNER ØST,05.01.2001,1983,15/9-9 SLEIPNER ØST,BUSINESS ARRANGEMENT AREA,SLEIPNER ØST UNIT,43928,43478,60,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43928,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43478
15/9-20 S,Statoil Petroleum AS,Included in other discovery,GAS/CONDENSATE,15/9-20 S,North sea,GUNGNE,02.11.2000,1994,15/9-15 GUNGNE,PRODUCTION LICENSE,046,43940,43464,2319,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43940,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43464
15/9-B-1,Statoil Petroleum AS,Included in other discovery,GAS/CONDENSATE,15/9-B-1,North sea,SLEIPNER VEST,24.11.2010,2009,15/6-3 SLEIPNER VEST,BUSINESS ARRANGEMENT AREA,SLEIPNER VEST UNIT,17250040,43457,5870,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=17250040,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43457
16/1-7,Aker BP ASA,Included in other discovery,OIL,16/1-7,North sea,IVAR AASEN,21.05.2013,2004,16/1-9 IVAR AASEN,BUSINESS ARRANGEMENT AREA,IVAR AASEN UNIT,2819923,23384520,4928,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=2819923,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=23384520
16/7-7 S,ExxonMobil Exploration and Production Norway AS,Included in other discovery,OIL,16/7-7 S,North sea,SIGYN,31.08.2001,1997,16/7-4 SIGYN,PRODUCTION LICENSE,072,45641,1630100,3244,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=45641,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=1630100
2/11-10 S,Aker BP ASA,Included in other discovery,OIL,2/11-10 S,North sea,HOD,09.01.1997,1994,2/11-2 HOD,PRODUCTION LICENSE,033,43994,43485,2297,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43994,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43485
2/1-9 GYDA SØR,Repsol Norge AS,Included in other discovery,OIL,2/1-9,North sea,GYDA,19.11.2001,1991,2/1-3 GYDA,PRODUCTION LICENSE,019 B,44018,43492,1667,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44018,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43492
2/4-23 S (Julius),Statoil Petroleum AS,Included in other discovery,GAS/CONDENSATE,2/4-23 S,North sea,,,2015,2/4-21 (King Lear),PRODUCTION LICENSE,146,26463461,,7657,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=26463461,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=26463461
2/7-31,ConocoPhillips Skandinavia AS,Included in other discovery,OIL,2/7-31,North sea,,,1999,2/7-19 (Ebba),PRODUCTION LICENSE,018,105311,,3573,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=105311,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=105311
2/7-8,ConocoPhillips Skandinavia AS,Included in other discovery,OIL,2/7-8,North sea,ELDFISK,,1973,2/7-1 ELDFISK,PRODUCTION LICENSE,018,44156,43527,267,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44156,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43527
24/6-4 ALVHEIM,Aker BP ASA,Included in other discovery,OIL/GAS,24/6-4,North sea,ALVHEIM,08.10.2004,2003,24/6-2 ALVHEIM,PRODUCTION LICENSE,203,2472552,2845712,4745,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=2472552,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=2845712
25/11-25 S SVALIN,Statoil Petroleum AS,Included in other discovery,OIL,25/11-25 S,North sea,SVALIN,23.11.2012,2008,25/11-16 SVALIN,PRODUCTION LICENSE,169,4972673,22507971,5642,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=4972673,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=22507971
25/2-17,Aker BP ASA,Included in other discovery,OIL,25/2-17,North sea,,,2009,25/2-10 S (Frigg-GammaDelta),PRODUCTION LICENSE,442,17237215,,6215,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=17237215,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=17237215
25/4-10 S,Aker BP ASA,Included in other discovery,OIL,25/4-10 S,North sea,ALVHEIM,21.11.2010,2009,24/6-2 ALVHEIM,PRODUCTION LICENSE,203,17256863,2845712,6253,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=17256863,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=2845712
25/4-7 ALVHEIM,Aker BP ASA,Included in other discovery,OIL,25/4-7,North sea,ALVHEIM,08.10.2004,2003,24/6-2 ALVHEIM,PRODUCTION LICENSE,203,2420578,2845712,4716,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=2420578,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=2845712
25/5-4 BYGGVE,Total E&P Norge AS,Included in other discovery,GAS/CONDENSATE,25/5-4,North sea,SKIRNE,15.09.2003,1991,25/5-3 SKIRNE,PRODUCTION LICENSE,102,44276,2138816,1691,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44276,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=2138816
25/7-3 JOTUN,ExxonMobil Exploration and Production Norway AS,Included in other discovery,OIL,25/7-3,North sea,JOTUN,10.06.1997,1995,25/8-5 S JOTUN,BUSINESS ARRANGEMENT AREA,JOTUN UNIT,44300,43604,2623,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44300,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43604
25/7-5,Aker BP ASA,Included in other discovery,OIL,25/7-5,North sea,ALVHEIM,01.01.2014,1997,24/6-2 ALVHEIM,PRODUCTION LICENSE,203,44306,2845712,3132,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44306,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=2845712
25/8-1 FORSETI,ExxonMobil Exploration and Production Norway AS,Included in other discovery,OIL,25/8-1,North sea,BALDER,23.08.2001,1970,25/11-1 BALDER,PRODUCTION LICENSE,001,44312,43562,173,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44312,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43562
25/8-10 S RINGHORNE,ExxonMobil Exploration and Production Norway AS,Included in other discovery,OIL,25/8-10 S,North sea,BALDER,23.08.2001,1997,25/11-1 BALDER,PRODUCTION LICENSE,001,52316,43562,3062,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=52316,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43562
25/8-11 RINGHORNE,ExxonMobil Exploration and Production Norway AS,Included in other discovery,OIL,25/8-11,North sea,BALDER,23.08.2001,1997,25/11-1 BALDER,PRODUCTION LICENSE,001,44318,43562,3209,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44318,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43562
25/8-8 S JOTUN,ExxonMobil Exploration and Production Norway AS,Included in other discovery,OIL,25/8-8 S,North sea,JOTUN,10.06.1997,1995,25/8-5 S JOTUN,BUSINESS ARRANGEMENT AREA,JOTUN UNIT,44336,43604,2646,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44336,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43604
25/8-C-20,ExxonMobil Exploration and Production Norway AS,Included in other discovery,OIL,25/8-C-20,North sea,BALDER,20.11.2003,2003,25/11-1 BALDER,PRODUCTION LICENSE,001,2455295,43562,4727,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=2455295,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43562
29/6-1,Total E&P Norge AS,Included in other discovery,GAS/CONDENSATE,29/6-1,North sea,MARTIN LINGE,11.06.2012,1982,30/7-6 MARTIN LINGE,BUSINESS ARRANGEMENT AREA,MARTIN LINGE UNIT,2770139,21675447,375,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=2770139,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=21675447
30/11-10 (Krafla Nord),Statoil Petroleum AS,Included in other discovery,OIL,30/11-10,North sea,,,2014,30/11-8 S (Krafla),PRODUCTION LICENSE,035,25612576,,7595,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=25612576,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=25612576
30/11-11 S (Madam Felle),Statoil Petroleum AS,Included in other discovery,OIL,30/11-11 S,North sea,,,2016,30/11-8 S (Krafla),PRODUCTION LICENSE,035,28160390,,7896,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=28160390,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=28160390
30/11-12 S (Askja Sørøst),Statoil Petroleum AS,Included in other discovery,OIL,30/11-12 S,North sea,,,2016,30/11-8 S (Krafla),PRODUCTION LICENSE,035,28184810,,7921,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=28184810,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=28184810
30/11-13 (Beerenberg),Statoil Petroleum AS,Included in other discovery,OIL,30/11-13,North sea,,,2016,30/11-8 S (Krafla),PRODUCTION LICENSE,272,28185156,,7948,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=28185156,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=28185156
30/11-14 (Slemmestad),Statoil Petroleum AS,Included in other discovery,GAS,30/11-14,North sea,,,2016,30/11-8 S (Krafla),PRODUCTION LICENSE,272,28222393,,7982,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=28222393,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=28222393
30/11-14 B (Haraldsplass),Statoil Petroleum AS,Included in other discovery,OIL/GAS,30/11-14 B,North sea,,,2016,30/11-8 S (Krafla),PRODUCTION LICENSE,272,28222402,,7984,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=28222402,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=28222402
30/11-5 (Steinbit),Statoil Petroleum AS,Included in other discovery,OIL,30/11-5,North sea,,,1997,30/11-8 S (Krafla),PRODUCTION LICENSE,035,23296145,,2986,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=23296145,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=23296145
30/11-8 A,Statoil Petroleum AS,Included in other discovery,OIL/GAS,30/11-8 A,North sea,,,2011,30/11-8 S (Krafla),PRODUCTION LICENSE,035,20484993,,6611,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=20484993,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=20484993
30/11-9 A (Askja Øst),Statoil Petroleum AS,Included in other discovery,OIL,30/11-9 A,North sea,,,2014,30/11-9 S (Askja),PRODUCTION LICENSE,272,24216071,,7281,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=24216071,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=24216071
30/11-9 S (Askja),Statoil Petroleum AS,Included in other discovery,GAS,30/11-9 S,North sea,,,2013,30/11-8 S (Krafla),PRODUCTION LICENSE,272,23892654,,7280,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=23892654,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=23892654
30/3-6 S,Statoil Petroleum AS,Included in other discovery,OIL,30/3-6 S,North sea,VESLEFRIKK,16.01.1995,1994,30/3-2  VESLEFRIKK,PRODUCTION LICENSE,052,44384,43618,2269,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44384,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43618
30/3-7 A,Statoil Petroleum AS,Included in other discovery,GAS,30/3-7 A,North sea,VESLEFRIKK,16.11.1999,1998,30/3-2  VESLEFRIKK,PRODUCTION LICENSE,052,46312,43618,3176,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=46312,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43618
30/3-7 B,Statoil Petroleum AS,Included in other discovery,OIL,30/3-7 B,North sea,VESLEFRIKK,27.04.1999,1998,30/3-2  VESLEFRIKK,PRODUCTION LICENSE,052,46322,43618,3229,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=46322,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43618
30/3-7 S,Statoil Petroleum AS,Included in other discovery,GAS,30/3-7 S,North sea,VESLEFRIKK,16.11.1999,1995,30/3-2  VESLEFRIKK,PRODUCTION LICENSE,052,44390,43618,2632,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44390,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43618
30/4-3 S,Total E&P Norge AS,Included in other discovery,OIL/GAS,30/4-3 S,North sea,MARTIN LINGE,08.12.2016,2016,30/7-6 MARTIN LINGE,BUSINESS ARRANGEMENT AREA,MARTIN LINGE UNIT,28546131,21675447,7961,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=28546131,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=21675447
30/6-14,Statoil Petroleum AS,Included in other discovery,OIL,30/6-14,North sea,OSEBERG ØST,21.11.2003,1984,30/6-5 OSEBERG ØST,BUSINESS ARRANGEMENT AREA,OSEBERG AREA UNIT,44402,43639,53,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44402,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43639
30/6-15 OSEBERG VEST,Statoil Petroleum AS,Included in other discovery,OIL/GAS,30/6-15,North sea,OSEBERG,21.05.2004,1984,30/6-1 OSEBERG,BUSINESS ARRANGEMENT AREA,OSEBERG AREA UNIT,44408,43625,110,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44408,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43625
30/6-17,Statoil Petroleum AS,Included in other discovery,OIL/GAS,30/6-17 R,North sea,OSEBERG,22.06.2005,1986,30/6-1 OSEBERG,BUSINESS ARRANGEMENT AREA,OSEBERG AREA UNIT,44420,43625,849,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44420,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43625
30/6-18 KAPPA,Statoil Petroleum AS,Included in other discovery,OIL/GAS,30/6-18,North sea,OSEBERG,21.05.2004,1985,30/6-1 OSEBERG,BUSINESS ARRANGEMENT AREA,OSEBERG AREA UNIT,44426,43625,488,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44426,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43625
30/6-19 BETA SADEL,Statoil Petroleum AS,Included in other discovery,OIL,30/6-19,North sea,OSEBERG ØST,07.05.1997,1986,30/6-5 OSEBERG ØST,BUSINESS ARRANGEMENT AREA,OSEBERG AREA UNIT,44432,43639,489,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44432,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43639
30/6-26 GAMMA VEST,Statoil Petroleum AS,Included in other discovery,OIL/GAS,30/6-26,North sea,OSEBERG,21.05.2004,2001,30/6-18 KAPPA,BUSINESS ARRANGEMENT AREA,OSEBERG AREA UNIT,1632058,43625,4416,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=1632058,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43625
30/6-27,Statoil Petroleum AS,Included in other discovery,OIL/GAS,30/6-27,North sea,OSEBERG,21.05.2004,2001,30/6-18 KAPPA,BUSINESS ARRANGEMENT AREA,OSEBERG AREA UNIT,1632112,43625,4425,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=1632112,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43625
30/6-28 S,Statoil Petroleum AS,Included in other discovery,OIL,30/6-28 S,North sea,OSEBERG,11.12.2013,2012,30/6-1 OSEBERG,BUSINESS ARRANGEMENT AREA,OSEBERG AREA UNIT,21660341,43625,6768,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=21660341,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43625
30/6-29 S (Alfa Nord Cook),Statoil Petroleum AS,Included in other discovery,OIL,30/6-29 S,North sea,OSEBERG,15.12.2015,2015,30/6-1 OSEBERG,BUSINESS ARRANGEMENT AREA,OSEBERG AREA UNIT,27115569,43625,7801,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=27115569,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43625
